"","X.1","Unnamed..0","X","Date","Year","Time","Location","Operator","Route","AC.Type","Manufacturer","Registration","cn.ln","Aboard","Aboard.Passangers","Aboard.Crew","Fatalities","Fatalities.Passangers","Fatalities.Crew","Ground","Summary","Coordinates","Latitude","Longitude","Country","Country.coordinates","Location_Status"
"130",469,515,520,"08/13/1938",1938,"11-12","Kiel, Germany","CSA Czech Airlines","Prague - Strasbourg - Paris","Savoia-Marchetti SM73","Savoia Marchetti","OK-BAG","30040",17,14,3,16,13,3,0,"Crashed into the Black Forest mountains in poor weather conditions. One stewardess survived but died a day later..","(54.322148, 10.122597)",54.2656396407207,10.9142103885791,"Germany","Germany","correct location"
"131",473,521,526,"08/29/1938",1938,"23-00","Tucumcari, New Mexico","Transcontinental &Western Air"," Burbank - Winslow - Albuquerque","Ford Tri-motor","Ford","NC17316","410",11,8,3,0,0,0,0,"The mail /passenger transport crashed in a field 10 miles south of Tucumcari after penetrating a strong storm. Excessive vibration and loss of power, due to malfunctioning of left engine, consulting in insufficient speed to sustain the aircraft in flight.","(35.178892, -103.720906)",35.5122637593375,-105.105203820463,"United States","United States","correct location"
"132",474,522,527,"08/29/1938",1938,"09-10","Innisfail, Australia","North Queensland Airways","Townsville - Innisfail - Cairns","De Havilland DH-84","deHavilland","VH-UXK","6053",9,8,1,5,4,1,0,"Crashed into a cane field short of the runwa while attempting to land when the pilot swerved to avoid a tractor.","(-17.521436, 146.02668)",-17.3253187286018,145.61385794482,"Australia","Australia","correct location"
"133",477,525,530,"10/10/1938",1938,"11-12","Soest, Germany","Sabena","Brussels - DÃÂ¼sseldorf - Berlin","Savbia-Marchetti  S-73P","Savoia Marchetti","OO-AGT","4",20,16,4,20,16,4,0,"The aircraft broke-up in midair and crashed to the ground.  A propeller may have broken, tearing loose an engine.","(51.568226, 8.113109)",51.9312151683698,10.8149442012859,"Germany","Germany","correct location"
"134",478,526,531,"10/25/1938",1938,"13-14","Mt. Dandenong, Australia","Australian National Airways","Adelaide - Melbourne","Douglas DC-2-112","Douglas","VH-UYC","1566",18,14,4,18,14,4,0,"Crashed into Mt. Daodenong in heavy fog while en route. Procedural errors by the pilot.","(-37.83082, 145.356677)",-37.4595380486436,146.584715402642,"Australia","Australia","correct location"
"135",482,530,535,"11/18/1938",1938,"00-01","Regina, Saskatchewan, Canada","Trans Canada Air Lines","Winnipeg - Regina - Vancouver","Lockheed 14 Electra","Lockheed","CF-TCL","1475",2,0,2,2,0,2,0,"The mail plane crashed several minutes after taking off from Regina","(50.448205, -104.619116)",49.2048544621829,-106.043837685407,"Canada","Canada","correct location"
"136",485,533,538,"11/29/1938",1938,"05-06","Point Reyes, California","United Air Lines","Seattle, WA - Medford, OR - Oakland,CA","Douglas DC 3-A-SB-3-G-14","Douglas","NC16066","1907",7,4,3,5,3,2,0,"The aircraft ran out of fuel and ditched into the ocean a little less than a mile offshore. Failure of the pilot to definitely establish the position of the aircraft through standard orientation procedures within a reasonable time after intersecting a leg of the Oakland radio range and of Company flight dispatchers, charged with the responsibilities of directing the operation of the trip, to properly safeguard the flight, resulting in forced landing of the aircraft at sea due to exhausted fuel supply.","(38.081784, -122.814317)",37.0292823814072,-122.630076836379,"United States","United States","correct location"
"137",486,534,539,"12/02/1938",1938,"07-08","Mexico City, Mexico","Mexicana","Mexico City - Merida","Lockheed 10E Electra","Lockheed","X-ABAU","1041",8,5,3,8,5,3,0,"Crashed and burned on a hill while taking off in foggy conditions. The pilot did not have authorization to take off during poor visibility.","(19.371422, -99.150344)",19.2633496752224,-100.721223033914,"Mexico","Mexico","correct location"
"138",488,536,541,"12/09/1938",1938,"11-12","Amsterdam, Netherlands","KLM Royal Dutch Airlines","Instructional Flight","Lockheed 14-WF62 Super Electra","Lockheed","PH-APE","1413",4,0,4,4,0,4,0,"Whle taking off the aircraft stalled and struck a dyke near Schiphol Airport and caught fire.","(52.37243, 4.89973)",52.3210099882419,6.62108965037302,"Netherlands","Netherlands","correct location"
"139",490,538,543,"01/07/1939",1939,"16-17","Paris, France","Swissair","Zurich - Geneva - Paris","Douglas DC-2-115B","Douglas","HB-ITA","1329",17,12,5,5,2,3,0,"The aircraft crashed onto a field losing both wings while attempting to land in low overcast.","(48.858705, 2.342865)",49.2939545268465,1.85740375822978,"France","France","correct location"
"140",492,540,545,"01/13/1939",1939,"21-22","Miles City, Montana","Northwest Orient Airlines","Chicago - Seattle","Lockheed 14-H Super Electra","Lockheed","NC17389","1408",4,2,2,4,2,2,0,"The aircraft crashed 2,650 feet past the runway boundry after taking off. A fire of considerable intensity developed, prior to the crash, in the cockpit of the aircraft, in the immediate vicinity of the gasoline cross-feed valve. It  was not possible to determine the exact origin and source of the fire.","(46.408591, -105.841141)",47.1809647659933,-109.017721608731,"United States","United States","correct location"
"141",493,541,546,"01/18/1939",1939,"07-08","Katherine, Australia","Guinea Airways","Katherine - Adelaide","Lockheed 14 Electra","Lockheed","VH-ABI","1418",4,1,3,4,1,3,0,"The mail plane failed to gain height after taking off, stalled and crashed into the Katherine River during a storm.","(-14.453207, 132.275151)",-15.4889075903492,131.02575881011,"Australia","Australia","correct location"
"142",495,543,548,"02/12/1939",1939,"14-15","Juneau, Alaska","Marine Airways","Ketchikan - Juneau","Fairchild 71(amphibious)","Fairchild","NC9777","618",6,5,1,6,5,1,0,"The air taxi encountered low visibility and snow and crashed on Grand Island. The wreckage was found 1 month later","(58.503052, -134.249544)",58.5761113782916,-134.466606798218,"United States","United States","correct location"
"143",499,548,553,"03/26/1939",1939,"14-15","Oklahoma City, Oklahoma","Braniff Airlines","Chicago - Kansas City - Wichita - Oklahoma City - Dallas","Douglas DC-2-112","Douglas","NC13727","1253",12,9,3,8,7,1,0,"An explosion in an engine, just after takeoff blew the two halves of the cowl open creating excessive drag and causing the left wing to drop. The captain tried to circle back, but the wing impacted an embankment along a section line road and crashed about 100 yards inside the boundary. Either the hot metal of the engines or some other source ignited the fuel spilling out of the ruptured tank and the cabin was quickly engulfed in flames. The initial cause of the explosion was a cylinder blow out which was a problem with that particular engine and had caused problems in two other aircraft, a TWA and United DC-2, both of which landed safely.","(35.393761, -97.602513)",34.296930493841,-95.4025490289219,"United States","United States","correct location"
"144",502,551,556,"05/02/1939",1939,"15-16","Marrakech, Morocco","Air France","Casablanca, Morocco - Dakar, Senegal","Dewoitine D-338","Dewoitine","F-ARIC","25",9,6,3,9,6,3,0,"Crashed and burned in a mountainous area due to icing.","(31.622189, -7.991634)",32.2874121659781,-6.61371671062661,"Morocco","Morocco","correct location"
"145",503,552,557,"05/08/1939",1939,"12-13","Guayaquil, Ecuador","Military - Ecuadorian Air Force","","Curtiss-Wright C-14 Osprey","Curtiss Wright","","",1,0,1,1,0,1,22,"While performing aerobatics, the aircraft lost control and crashed into numerous building near a college.","(-2.189354, -79.889587)",-2.44036268640299,-80.8852981743829,"Ecuador","Ecuador","correct location"
"146",509,558,563,"08/13/1939",1939,"16-17","Rio de Janerio, Brazil","Pan American World Airways","Miami - Rio de Janerio","Sikorsky S43 (flying boat)","Sikorsky","NC16933","4316",16,12,4,14,10,4,0,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions.","(-22.935024, -43.518246)",-21.5330317828698,-43.8469377275611,"Brazil","Brazil","correct location"
"147",510,559,564,"08/15/1939",1939,"13-14","Copenhagen, Denmark","British Airways","London - Hamburg - Copenhagen","Lockheed 10 Electra","Lockheed","G-ASEY","1102",6,4,2,5,4,1,0,"Crashed into the sea after a fire aboard. Leakage of fuel from the overflow boxes, which resulted from overfilling of the fuel tanks.","(55.704438, 12.502119)",55.9126972143036,8.72868532505714,"Denmark","Denmark","correct location"
"148",520,579,584,"08/13/1940",1940,"10-11","Canberra, Australia","Military - Royal Australian Air Force","Melbourne - Canberra","Lockheed Hudson A16-97","Lockheed","","",10,6,4,10,6,4,0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classic symptoms of a stall, too close to the ground for recovery.","(-35.470057, 148.954507)",-35.356727673899,150.711933519519,"Australia","Australia","correct location"
"149",523,582,587,"08/31/1940",1940,"14-15","Lovettsville, Virginia","Pennsylvania Central Airlines","Washington D.C. - Detroit","Douglas DC-3","Douglas","NC21789","2188",25,21,4,25,21,4,0,"The aircraft was flying through a thunderstorm in turbulence when the it nosed over and plunged to earth near Short Hill Mountain.  Disabling of the pilots by a severe lightning discharge in the immediate neighborhood of the airplane, with resulting loss of control. With limited accident investigation tools at the time, the most likely cause was the plane flying into windshear.  U.S. Senator Ernest Lundeen from Minnesota killed.","(39.272869, -77.639921)",38.4232251022418,-78.3170717653536,"United States","United States","correct location"
"150",528,587,592,"11/04/1940",1940,"04-05","Centerville, Utah","United Air Lines","Oakland - Salt Lake City","Douglas DC-3","Douglas","NC16086","1925",10,8,2,10,8,2,0,"The aircraft crashed into Bountiful Peak in the Wasatch Mountains, during a snowstorm, 3 nm NE of Centerville. The failure of the communications operators at Tintic, Plymouth, and Salt Lake City, Utah, whose duty it was to monitor the range, to detect its malfunctioning and immediately notify those concerned and the failure of the pilot to follow to the fullest extent established radio range technique in accordance with the requirements of the procedure established by United and approved by the Civil Aeronautics Administration.","(38.830024, -77.435746)",37.1299331431971,-77.0328722079229,"United States","United States","correct location"
"151",530,589,594,"11/08/1940",1940,"15-16","Brandenburg, Germany","Deutsche Lufthansa","Berlin - Budapest","Junkers JU-90A-1","Junkers","D-AVMF","900010",29,23,6,29,23,6,0,"Crashed while en route in poor weather condtions . Icing.","(52.421197, 12.523106)",52.0282293238386,14.841138306511,"Germany","Germany","correct location"
"152",534,614,619,"10/30/1941",1941,"02-03","Moorhead, Minnesota","Northwest Orient Airlines","Minneapolis - Fargo","Douglas DC-3","Douglas","NC21712","2124",15,13,2,14,13,1,0,"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate.","(46.862901, -96.747249)",45.8045552109744,-96.1234537783916,"United States","United States","correct location"
"153",536,616,621,"11/29/1941",1941,"05-06","Chardzhou, Turkmenistan","Aeroflot","Chardzhou - Urgench"," Tupolev ANT-6","Tupolev","CP-L2010","61",36,31,5,7,5,2,0,"During the initial climb at night, the pilot in command suffered a spatial disorientation stalled the plane and crashed.","(38.848985, 63.127666)",38.7721655325644,64.8134068507483,"Turkmenistan","Turkmenistan","correct location"
"154",538,618,623,"12/26/1941",1941,"11-12","Baiserke, Kazakhstan","Aeroflot","Almaty - Karaganda - Aktyubinsk - Kuybyshev - Kazan"," Tupolev ANT-6","Tupolev","CCCP-L3043","22182",34,28,6,26,21,5,0,"The crew decided to takeoff in below-minima weather conditions with low clouds, fog, turbulences and severe icing. While attempting to return to the airport the aircraft lost altitude and crashed into a field.","(43.448002, 77.049599)",43.3470830024102,74.6420034511985,"Kazakhstan","Kazakhstan","correct location"
"155",540,620,625,"01/16/1942",1942,"19-20","Las Vegas, Nevada","Trans Continental and Western Air","Las Vegas - Los Angeles","Douglas DC-3","Douglas","NC1946","3295",22,19,3,22,19,3,0,"The aircraft crashed into Mt. Potosi (Double Up Peak, Table Spring Mountain, Olcott Mountain), 32 miles SW of Las Vegas, NV, 15 minutes after taking off from the Western Airlines terminal building at Las Vegas. The aircraft clipped a rocky ledge, cartwheeled into the face of a cliff and exploded, scattering wreckage at the bottom of a ravine. Actress Carole Lombard, 33, her mother, and press agent  were killed in the crash. Her mother did not want to fly and a coin was tossed to see whether the trip would be made by train or plane. The actress was returning from a war-bond promotion.  The flight was 6.7 miles off course for unknown reasons.  Failure of the captain to follow a proper course and make use of navigation facilities available to him. A contributing factor was the blackout of beacons in the area made necessary because of the war emergency.","(36.190364, -115.279104)",36.2132054077682,-117.123973869495,"United States","United States","correct location"
"156",550,630,635,"03/14/1942",1942,"21-22","Kunming, China","China National Aviation Corporation","Kunming - Chungking","Douglas DC-2-221","Douglas","31","1567",17,14,3,13,10,3,0,"Crashed 2 km from the Kunming Airdome shortly after takeoff.  Possible causes include engine failure,  overloading, sabotage and temporary blinding by a bright light.","(25.043508, 102.710316)",26.4139441910096,101.428434925761,"China","China","correct location"
"157",552,632,637,"05/01/1942",1942,"23-00","Salt Lake City, Utah","United Air Lines","San Francisco - New York City","Douglas DST-A-207A","Douglas","NC18146","1978",17,14,3,17,14,3,0,"After taking off from Salt Lake, the aircraft proceeded in the wrong direction and crashed into the side of a hill 3.8 miles northeast of the Salt Lake City Airport. The point of impact was at an elevation of 5,053 feet above sea level and about 830 feet above the airport. A deviation from the proper course, for reasons undetermined.","(40.773201, -111.933984)",40.7300857590823,-115.239185866773,"United States","United States","correct location"
"158",553,633,638,"05/12/1942",1942,"11-12","Miles City, Montana","Northwest Orient Airlines","Chicago - Seattle","Douglas DC-3-A-269","Douglas","NC 21714","2129",14,10,4,3,0,3,0,"The plane hit an obstruction at the end of the runway, overran the runway boundry and crashed. The failure of the captain to complete the landing run in time to avoid the obstruction at the end of the runway, for reasons undetermined, and his action in attempting to take off after striking the obstruction.","(46.408591, -105.841141)",46.7356528455982,-107.251020699913,"United States","United States","correct location"
"159",563,643,649,"09/28/1942",1942,"09-10","Sao Paulo, Brazil","Panair do Brasil SA","Rio de Janeiro - Sao Paulo","Lockheed 18 Loadstar","Lockheed","PP-PBG","2081",15,11,4,15,11,4,0,"Struck a mountain, 5 miles from its destination in adverse weather.","(-23.570533, -46.663713)",-24.0701311881419,-41.9048839052498,"Brazil","Brazil","correct location"
"160",566,646,653,"10/22/1942",1942,"13-14","Yanaul, Russia","Aeroflot","Moscow - Kazan - Sverdlovsk","GVF PS-84","Other","CCCP-L3903","505",12,7,5,10,5,5,0,"Crashed while on final approach. Icing. Incorrect weather conditions supplied to crew.","(56.276932, 54.940495)",56.6035648100278,57.2542148498395,"Russia","Russia","correct location"
"161",568,648,655,"10/23/1942",1942,"17-18","Palm Springs, California","American Airlines / Military - USAF","Palm Springs - New York City","Douglas DC-3 / Lockheed B-34","Douglas","NC16017","1555",13,10,3,12,10,2,0,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Lockheed B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.","(33.807808, -116.527883)",33.4570708500692,-115.512455346621,"United States","United States","correct location"
"162",572,653,660,"12/15/1942",1942,"01-02","Fairfield, Utah","Western Airlines","Salt Lake - Las Vegas - Burbank","Douglas DC-3A","Douglas","NC16060","1900",19,15,4,17,13,4,0,"Crashed after performing a violent maneuver.  Failure of the left, or possibly both wing tips and of the horizontal  tail  surfaces as a result of a sever pull-up which caused unusual and  abnormally high air loads. The reason the pull-up maneuver was not determined.","(38.273076, -122.041473)",38.3096497837093,-123.982588037819,"United States","United States","correct location"
"163",573,654,661,"12/19/1942",1942,"16-17","Vienna, Austria","DDL","Copenhagen, Denmark - Budapest, Hungary","Junkers JU-52/3m","Junkers","OY-DAL","5610",16,13,3,2,2,0,0,"Crashed 2 km from the airport  while attempting to land at Vienna to refuel.","(48.198674, 16.348388)",48.5753926815151,13.2719164894321,"Austria","Austria","correct location"
"164",574,655,662,"12/20/1942",1942,"19-20","Chilliwack, British Columbia, Canada","Canadian Pacific Air Lines","Prince George - Vancouver","Lockheed 14-H2 Super Electra","Lockheed","CF-CPD","1504",13,10,3,13,10,3,0,"Crashed into the slopes of M.t Cheam at 7,000 feet. Possible complete electrical failure resulting in the deviation from the prescribed route.","(49.154357, -121.919106)",50.9566463762079,-120.563852116922,"Canada","Canada","correct location"
"165",577,659,666,"01/21/1943",1943,"07-08","Ukiah, California","Pan American World Airways","Honolulu - San Francisco","Martin M-130 (flying boat)","Martin","NC14715","557",19,10,9,19,10,9,0,"Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper.","(39.147123, -123.20744)",37.7334501159794,-123.211189595783,"United States","United States","correct location"
"166",580,662,669,"02/18/1943",1943,"12-13","Seattle, Washington","Private - Boeing Aircraft Company","Test flight","Boeing XB-29","Boeing","41-3","",10,0,10,10,0,10,20,"Lost altitude, struck power lines and crashed into a packing house after encountering an engine fire on a test flight.","(47.673455, -122.331537)",45.8325967463964,-123.084296789884,"United States","United States","correct location"
"167",581,663,670,"02/22/1943",1943,"06-07","Lisbon, Portugal","Pan American World Airways","New York - Hamilton - Horta - Lisbon - Marseille","Boeing B-314 (flying boat)","Boeing","NC18603","1990",39,33,6,25,20,5,0,"Crashed into the Tagus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured. She later divorced her husband and married the co-pilot, who had saved her life despite his own serious injury, but they too divorced.","(38.748243, -9.140093)",37.8124652006471,-7.15692445617132,"Portugal","Portugal","correct location"
"168",583,666,673,"03/27/1943",1943,"05-06","Archerfield Aerodrome, Queensland, Australia","Military - Royal Australian Air Force","Brisbane - Sydney","Douglas C-47-DL","Douglas","A65-2","6149",24,20,4,24,20,4,0,"The aircraft, taking off in darkness and poor visibility, crashed in heavy timber and caught fire.","(-27.569475, 153.005162)",-27.147462008491,151.231663604344,"Australia","Australia","correct location"
"169",587,670,677,"06/07/1943",1943,"04-05","Red Springs, North Carolina","Military - U.S. Army Air Forces","Pope Field - Maxton","Douglas C-47A-DL","Douglas","42-23512","9374",20,16,4,20,16,4,0,"Crashed in thunderstorm activity while attempting to land.","(34.816541, -79.183344)",35.3021871854926,-81.5132657004124,"United States","United States","correct location"
"170",589,672,679,"06/14/1943",1943,"06-07","Mackay, OLD, Australia","Military - U.S. Army Air Forces","Mackay - Port Moresby","B-17C Flying Fortress","Boeing","12406","2072",41,35,6,40,34,6,0,"The aircraft took off into ground fog and leveled off at an altitude of about 300 feet. The plane stalled and crashed and exploded.","(-21.144192, 149.182075)",-21.5529049033284,145.991795697563,"Australia","Australia","correct location"
"171",592,675,682,"07/04/1943",1943,"23-00","Gibraltar","","","Consolidated Liberator B24 C","Consolidated","A-L-523","",13,NA,NA,12,NA,NA,0,"The flight, bound for London, crashed into the Mediterranean shortly after takeoff. Wladyslaw Sikorski, prime minister of the Polish government in exile, killed.","(36.136159, -5.348677)",36.6691517948071,-4.28990794732066,"Gibraltar","Gibraltar","correct location"
"172",594,677,684,"07/28/1943",1943,"22-23","Trammel, Kentucky","American Airlines","Cleveland - Memphis","Douglas DC-3","Douglas","NC16014","1552",22,18,4,20,16,4,0,"The aircraft crashed into trees while attempting to land in strong turbulence and violent downdrafts. There was evidence that most of the occupants in the cabin were victims of suffocation or fire, or both, because of their inability to effect an exit from the aircraft. Loss of control of the aircraft due to unusually severe turbulence and violent downdraft caused by a thunderstorm of unknown and unpredictable intensity.","(36.78532, -86.35332)",36.7444982243898,-85.7408421210082,"United States","United States","correct location"
"173",595,679,686,"08/07/1943",1943,"05-06","Townsville, Australia","Military - U.S. Air Force","Townsville - Brisbane","Douglas C-47-DL","Douglas","41-7733","4212",27,23,4,27,23,4,0,"Twenty minutes after taking off the aircraft crashed into Cleveland Bay several miles offshore.","(-19.259749, 146.814815)",-18.543420378096,141.83556709675,"Australia","Australia","correct location"
"174",597,681,688,"08/14/1943",1943,"04-05","Rhodes, Greece","LATI","","Savoia-Marchetti SM.75","Savoia Marchetti"," I-BETA","001",17,13,4,17,13,4,0,"While taking off the aircraft lost control and crashed offshore.","(36.437235, 28.218122)",35.5668981083151,29.6005964017219,"Greece","Greece","correct location"
"175",598,682,689,"08/27/1943",1943,"09-10","Rio de Janeiro, Brazil","VASP","Sao Paulo - Rio de Janeiro","Junkers JU-52/3m","Junkers","PP-SPD","5459",21,18,3,18,18,3,0,"Struck a Naval Academy building while attemptin to take off in heavy fog.  The plane then broke in two and fell into the harbor. The plane was named ""City of Rio de Janiero.""","(-22.935024, -43.518246)",-23.0262951348302,-41.9594530788472,"Brazil","Brazil","correct location"
"176",600,684,691,"09/10/1943",1943,"16-17","Galveston, Texas","Military - U.S. Army Air Forces","","Boeing B-17F / Boeing B-17F","Boeing","42-4621/42-6031","",22,0,22,22,0,22,0,"Midair collision over the Gulf of Mexico while flying in formation. Eleven killed on each plane.","(29.28592, -94.81164)",29.7066246448005,-91.6565450554884,"United States","United States","correct location"
"177",601,685,692,"09/20/1943",1943,"08-09","Maxton, North Carolina","Military - U.S. Army Air Forces","Maxton - Godman","Douglas C-53D-DO","Douglas","42-68729","11656",25,21,4,25,21,4,0,"Crashed into a wooded area after nearly colliding with a glider being towed by another aircraft.  The evasive maneuver caused the aircraft to stall and crash.","(34.739111, -79.350676)",35.8096252164594,-81.5382934377888,"United States","United States","correct location"
"178",602,686,693,"09/22/1943",1943,"06-07","Calcutta, India","Military - U.S. Army Air Forces","","Douglas C-53","Douglas","42-6471","4923",20,15,5,20,15,5,0,"Cashed into trees shortly after taking off.","(22.661829, 88.415518)",23.5433150314935,87.090128487101,"India","India","correct location"
"179",603,687,694,"10/15/1943",1943,"23-00","Centerville, Tennessee","American Airlines","Nashville - Memphis","Douglas DC3-G102","Douglas","NC16088","1588",15,11,4,15,11,4,0,"The aircraft struck the ground nose-first in a vertical attitude while en route and was completely demolished by the impact. Inability of the aircraft to gain or maintain altitude due to carburetor ice, propeller ice or wing ice or some combination of these icing conditions, while over terrain and in weather unsuitable for an emergency landing. Weather conditions which, had their nature been anticipated, should have precluded the dispatch of the flight in an aircraft not equipped with wing or propeller deicing equipment.","(38.830024, -77.435746)",37.5612889585885,-78.08482739024,"United States","United States","correct location"
"180",604,688,695,"10/19/1943",1943,"02-03","St. Donat, Quebec, Canada","Military - Royal Canadian Air Force","Gander - Mont-Joli","Consolidated B-24","Consolidated","3701","1031",24,20,4,24,20,4,0,"The plane crashed in a snowstorm, on a cliff near the summit of Black Mountain, 60 miles north of its destination, Montreal. The wreckage was located three years later.","(46.321858, -74.227948)",47.0214075259764,-77.0669924012207,"Canada","Canada","correct location"
"181",606,690,697,"10/22/1943",1943,"20-21","Columbus, Georgia","Military - U.S. Army Air Forces","","Douglas C-47-DL","Douglas","42-5677","7371",20,15,5,20,15,5,0,"Stalled when it was making a descending turn during a parachute exercise.","(39.980761, -82.985331)",40.5182247520784,-84.6064222430092,"United States","United States","correct location"
"182",615,699,706,"12/29/1943",1943,"15-16","Lakeside, Utah","Military - U.S. Army Air Forces / Military - U.S. Army Air Forces","Wendover Field - Pocatello AAB","Consolidated B-24 / Consolidated B-24","Consolidated","42-7183/42-7408","",25,0,25,25,0,25,0,"A midair collision occurred while on a cross-country flight flying in formation. Twelve kiled aboard 4207183 and thirteen aboard 42-7408. Faulty flying technique displayed by the pilot of 42-7183.","(30.136823, -81.770831)",30.21788265193,-81.5878250715896,"United States","United States","correct location"
"183",617,701,708,"02/10/1944",1944,"23-00","Memphis, Tennessee","American Airlines","Little Rock - Memphis","Douglas DC-3","Douglas","NC21767","2166",24,21,3,24,21,3,0,"The aircraft crashed into a river and sank ,18 miles southwest of Memphis, in a snowstorm, while en route from Little Rock. Cause undetermined.","(35.112125, -89.954644)",35.4934430072644,-86.9109229699708,"United States","United States","correct location"
"184",627,712,719,"06/06/1944",1944,"01-02","Barneville, France","Military - U.S. Army Air Forces","","Douglas C-47A","Douglas","42-93095","112969",22,18,4,22,18,4,0,"Shot down by anti-aircraft fire during the Normandy invasion.","(49.381064, -1.753568)",46.4986124067195,-2.06424751465246,"France","France","correct location"
"185",628,713,720,"06/06/1944",1944,"02-03","Flamanville, France","Military - U.S. Army Air Forces","","Douglas C-47A","Douglas","42-100905","19368",22,17,5,22,17,5,0,"Shot down by anti-aircraft fire during the Normandy invasion.","(49.535342, -1.866753)",48.9545463762096,-2.22266584272367,"France","France","correct location"
"186",629,714,721,"06/06/1944",1944,"01-02","Carentan, France","Military - U.S. Army Air Forces","","Douglas C-47A-DL","Douglas","42-101035","19498",22,18,4,22,18,4,0,"Shot down by anti-aircraft fire during the Normandy invasion.","(49.272553, -1.281173)",50.591821990087,-2.3799417482667,"France","France","correct location"
"187",633,718,725,"07/11/1944",1944,"16-17","Portland, Maine","Military - U.S. Army","Barksdale - Portland","Douglas A-26B Invader","Douglas"," 43-22253","18400",2,0,2,2,0,2,19,"Smoke and fire was seen coming out of one engine before the aircraft crashed. A wing hit the ground and the plane cartwheeled into the Redbank trailer park.","(45.533467, -122.650095)",44.7673481097247,-122.534869951598,"United States","United States","correct location"
"188",638,723,730,"08/03/1944",1944,"20-21","Naper, Nebraska","Military - U.S. Army Air Forces","Bruning, NB - Pierre, SD","Douglas C-47A-DL","Douglas","42-23652","9514",28,24,4,28,24,4,0,"Crashed in a severe thunderstorm after possibly being hit by lightning and losing both engines.","(42.96418, -99.097)",42.9895587139754,-96.7967292479207,"United States","United States","correct location"
"189",639,724,731,"08/08/1944",1944,"13-14","Antilla, Cuba","Pan American World Airways","San Juan - Antilla - Miami","Sikorsky S-42 (flying boat)","Sikorsky","NC823M","4201",31,26,5,17,17,0,0,"Crashed during the third attempt to lift from the water and sank into the ocean. Loss of control due to the captain's inexperience in handling the particular type of aircraft. The aircraft was named ""Hong Kong Clipper.""","(20.857568, -75.698065)",19.578696926921,-76.5228081836465,"Cuba","Cuba","correct location"
"190",640,725,732,"08/12/1944",1944,"18-19","Blythburgh, England","Military - U.S. Navy","","Consolidated PB4Y-1","Consolidated","32271","",2,0,2,2,0,2,0,"Navy lieutenant Joseph P. Kennedy Jr., 29, brother of President John F. Kennedy, was killed while on a flying mission over England during World War II.  Kennedy volunteered for operation Aphrodite after completing two full combat tours and was killed when the explosive-laden PB4Y he was flying blew up in air.  He was intending to aim the ship and bail out, leaving another aircraft to guide the PB4Y via remote control to a German submarine pen on the French coast; it apparently exploded when he armed the switches.  The photographic chase plane had President Franklin Roosevelt's son, Elliot Roosevelt, on board.","(52.32039, 1.59679)",52.6449497729895,1.54926091024097,"United Kingdom","United Kingdom","correct location"
"191",642,729,736,"08/30/1944",1944,"00-01","Sao Paulo, Brazil","Panair do Brasil","Rio de Janeiro - Sao Paulo","Lockheed 18 Lodestar","Lockheed","PP-PBI","2114",18,14,4,18,14,4,0,"Crashed in fog, short of the runway, while attempting to land at Congonhas Airport.","(-23.570533, -46.663713)",-22.4851124690754,-46.4032622335431,"Brazil","Brazil","correct location"
"192",645,732,739,"09/17/1944",1944,"21-22","Copeland, Kansas","Military - U.S. Army","","Consolidated B-24 Liberator","Consolidated","","",13,0,13,13,0,13,2,"The bomber crashed into a farmhouse.","(39.88087, -87.2789)",40.9134586101839,-88.2811004115946,"United States","United States","correct location"
